pricecurrency,pricefinal
USD,0
USD,5
USD,10
USD,15
USD,20
USD,25
USD,30
USD,35
USD,40
USD,45
USD,50
USD,55
USD,60
USD,65
USD,70
USD,75
USD,80
USD,85
USD,90
USD,95
USD,100
USD,105
USD,110
USD,115
USD,120
USD,125
USD,130
USD,135
USD,140
USD,145
USD,150
USD,155
USD,160
USD,165
USD,170
USD,175
USD,180
USD,185
USD,190
USD,195
USD,200
USD,205
USD,210
USD,215
USD,220
USD,225
USD,230
USD,235
USD,240
USD,245
USD,250
USD,255
USD,260
USD,265
USD,270
USD,275
USD,280
USD,285
USD,290
USD,295
USD,300
USD,305
USD,310
USD,315
USD,320
USD,325
USD,330
USD,335
USD,340
USD,345
USD,350
USD,355
USD,360
USD,365
USD,370
USD,375
USD,380
USD,385
USD,390
USD,395
USD,400
USD,405
USD,410
USD,415
USD,420
USD,425
USD,430
USD,435
USD,440
USD,445
USD,450
USD,455
USD,460
USD,465
USD,470
USD,475
USD,480
USD,485
USD,490
USD,495
USD,500
