id,name,releasedate,recommendationcount,priceinitial,abouttext,background
1,Counter-Strike,Nov 1 2000,68991,9.99,Play the worlds number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your teams success. Your teams success affects your role.,http://cdn.akamai.steamstatic.com/steam/apps/10/page_bg_generated_v6b.jpg?t=1447887426
2,Team Fortress Classic,Apr 1 1999,2439,4.99,One of the most popular online action games of all time Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons items and abilities as teams compete online in a variety of game play modes.,http://cdn.akamai.steamstatic.com/steam/apps/20/page_bg_generated_v6b.jpg?t=1447350811
3,Day of Defeat,May 1 2003,2319,4.99,Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry sniper or machine-gunner class each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And as war rages players must work together with their squad to accomplish a variety of mission-specific objectives.,http://cdn.akamai.steamstatic.com/steam/apps/30/page_bg_generated_v6b.jpg?t=1447350812
4,Deathmatch Classic,Jun 1 2001,888,4.99,Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valves tribute to the work of id software DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.,http://cdn.akamai.steamstatic.com/steam/apps/40/page_bg_generated_v6b.jpg?t=1447350812
5,Half-Life: Opposing Force,Nov 1 1999,2934,4.99,Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents and experiment with new weaponry. Named Game of the Year by the Academy of Interactive Arts and Sciences.,http://cdn.akamai.steamstatic.com/steam/apps/50/page_bg_generated_v6b.jpg?t=1447350813
6,Ricochet,Nov 1 2000,1965,4.99,A futuristic action game that challenges your agility as well as your aim Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.,http://cdn.akamai.steamstatic.com/steam/apps/60/page_bg_generated_v6b.jpg?t=1453942008
7,Half-Life,Nov 8 1998,12486,9.99,Named Game of the Year by over 50 publications Valves debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.,http://cdn.akamai.steamstatic.com/steam/apps/70/page_bg_generated_v6b.jpg?t=1447890508
8,Counter-Strike: Condition Zero,Mar 1 2004,7067,9.99,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920
9,Counter-Strike: Condition Zero Deleted Scenes,Mar 1 2004,7073,9.99,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920
10,Half-Life: Blue Shift,Jun 1 2001,2219,4.99,Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun the security guard sidekick who helped Gordon out of so many sticky situations.,http://cdn.akamai.steamstatic.com/steam/apps/130/page_bg_generated_v6b.jpg?t=1447350816
