id,name,platformwindows,platformlinux,platformmac
1,Counter-Strike,true,true,true
2,Team Fortress Classic,true,true,true
3,Day of Defeat,true,true,true
4,Deathmatch Classic,true,true,true
5,Half-Life: Opposing Force,true,true,true
6,Ricochet,true,true,true
7,Half-Life,true,true,true
8,Counter-Strike: Condition Zero,true,true,true
9,Counter-Strike: Condition Zero Deleted Scenes,true,true,true
10,Half-Life: Blue Shift,true,true,true
11,Half-Life 2,true,true,true
12,Counter-Strike: Source,true,true,true
13,Half-Life: Source,true,true,true
14,Day of Defeat: Source,true,true,true
15,Half-Life 2: Deathmatch,true,true,true
16,Half-Life 2: Lost Coast,true,true,true
17,Half-Life Deathmatch: Source,true,true,true
18,Half-Life 2: Episode One,true,true,true
19,Portal,true,true,true
20,Half-Life 2: Episode Two,true,true,true
21,Team Fortress 2,true,true,true
22,Left 4 Dead,true,false,true
23,Left 4 Dead 2,true,true,true
24,Dota 2,true,true,true
25,Portal 2,true,true,true
26,Alien Swarm,true,false,false
27,Portal 2 - Pre-order,true,true,true
28,Counter-Strike: Global Offensive,true,true,true
29,Rag Doll Kung Fu,true,false,false
30,Red Orchestra: Ostfront 41-45,true,true,true
31,Killing Floor,true,true,true
32,SiN Episodes: Emergence,true,false,false
33,SiN Multiplayer,true,false,false
34,SiN,true,false,false
35,Darwinia,true,true,true
36,Uplink,true,true,true
37,DEFCON,true,true,true
38,Multiwinia,true,false,true
39,Dangerous Waters,true,false,false
40,Space Empires IV Deluxe,true,false,false
41,Jagged Alliance 2,true,false,false
42,Disciples II: Rise of the Elves,true,false,false
43,Disciples II: Gallean's Return,true,false,false
44,Iron Warriors: T-72 Tank Command,true,false,false
45,Space Empires V,true,false,false
46,Arx Fatalis,true,false,false
47,Source Filmmaker,true,false,false
48,Earth 2160,true,true,true
49,Two Worlds: Epic Edition,true,true,true
50,Dark Messiah of Might & Magic Single Player,true,false,false
51,Dark Messiah of Might & Magic Multi-Player,true,false,false
52,Quake III Arena,true,false,false
53,Quake 4,true,false,false
54,Wolfenstein 3D,true,false,false
55,The Ultimate DOOM,true,false,false
56,Final DOOM,true,false,false
57,DOOM II: Hell on Earth,true,false,false
58,Quake,true,false,false
59,Quake II,true,false,false
60,Quake II: The Reckoning,true,false,false
61,Quake II: Ground Zero,true,false,false
62,Quake III: Team Arena,true,false,false
63,HeXen: Beyond Heretic,true,false,false
64,HeXen: Deathkings of the Dark Citadel,true,false,false
65,Heretic: Shadow of the Serpent Riders,true,false,false
66,The Ship,true,false,false
67,The Ship Single Player,true,false,false
68,Bloody Good Time,true,false,false
69,Shadowgrounds,true,false,true
70,Gumboy: Crazy Adventures,true,false,false
71,Gumboy Crazy Features,true,false,false
72,RIP,true,false,false
73,RIP 2: Strike Back,true,false,false
74,RIP 3: The Last Hero,true,false,false
75,Vigil: Blood Bitterness,true,false,false
76,Alpha Prime,true,false,false
