id,name,controllersupport,isfree,categorysingleplayer,categorymultiplayer,categorycoop,categorymmo,categoryinapppurchase,categoryincludesrcsdk,categoryincludeleveleditor,categoryvrsupport
1,Counter-Strike,false,false,false,true,false,false,false,false,false,false
2,Team Fortress Classic,false,false,false,true,false,false,false,false,false,false
3,Day of Defeat,false,false,false,true,false,false,false,false,false,false
4,Deathmatch Classic,false,false,false,true,false,false,false,false,false,false
5,Half-Life: Opposing Force,false,false,true,true,false,false,false,false,false,false
6,Ricochet,false,false,false,true,false,false,false,false,false,false
7,Half-Life,false,false,true,true,false,false,false,false,false,false
8,Counter-Strike: Condition Zero,false,false,true,true,false,false,false,false,false,false
9,Counter-Strike: Condition Zero Deleted Scenes,false,false,true,true,false,false,false,false,false,false
10,Half-Life: Blue Shift,false,false,true,false,false,false,false,false,false,false
11,Half-Life 2,false,false,true,false,false,false,false,true,false,false
12,Counter-Strike: Source,false,false,false,true,false,false,false,true,false,false
13,Half-Life: Source,false,true,true,false,false,false,false,false,false,false
14,Day of Defeat: Source,false,false,false,true,false,false,false,true,false,false
15,Half-Life 2: Deathmatch,false,false,false,true,false,false,false,true,false,false
16,Half-Life 2: Lost Coast,false,true,true,false,false,false,false,false,false,false
17,Half-Life Deathmatch: Source,false,true,false,true,false,false,false,false,false,false
18,Half-Life 2: Episode One,false,false,true,false,false,false,false,true,false,false
19,Portal,false,false,true,false,false,false,false,true,true,false
20,Half-Life 2: Episode Two,false,false,true,false,false,false,false,true,false,false
21,Team Fortress 2,false,true,false,true,false,false,true,false,true,false
22,Left 4 Dead,true,false,true,true,true,false,false,true,false,false
23,Left 4 Dead 2,true,false,true,true,true,false,false,true,false,false
24,Dota 2,false,true,false,true,true,false,true,false,false,false
25,Portal 2,true,false,true,false,true,false,false,false,true,false
26,Alien Swarm,false,true,true,true,true,false,false,false,true,false
27,Portal 2 - Pre-order,true,false,true,false,true,false,false,false,true,false
28,Counter-Strike: Global Offensive,true,false,false,true,false,false,true,false,false,false
29,Rag Doll Kung Fu,false,false,true,true,false,false,false,false,false,false
30,Red Orchestra: Ostfront 41-45,false,false,false,true,false,false,false,false,false,false
31,Killing Floor,false,false,true,true,true,false,false,false,true,false
32,SiN Episodes: Emergence,false,false,true,false,false,false,false,false,false,false
33,SiN Multiplayer,false,false,true,false,false,false,false,false,false,false
34,SiN,false,false,true,false,false,false,false,false,false,false
35,Darwinia,false,false,true,false,false,false,false,false,false,false
36,Uplink,false,false,true,false,false,false,false,false,false,false
37,DEFCON,false,false,true,true,false,false,false,false,false,false
38,Multiwinia,false,false,true,true,false,false,false,false,false,false
39,Dangerous Waters,false,false,true,true,false,false,false,false,false,false
40,Space Empires IV Deluxe,false,false,true,true,false,false,false,false,false,false
