id,name,category
9928,Sketchfab VR,Single Player
9929,Sumer,Single Player
9930,Hiiro,Single Player
9931,Event Horizon,Single Player
9932,Sector Six,Single Player
9933,Grey Phobia,Single Player
9934,EXZEAL,Single Player
9935,TRIZEAL Remix,Single Player
9936,Don Bradman Cricket 17 Demo,Single Player
9937,Wicce,Single Player
9938,Mars Odyssey,Single Player
9939,Crime Secrets: Crimson Lily,Single Player
9940,One day in London,Single Player
9941,Space Survival,Single Player
9942,Badass Hero,Single Player
9943,Serious Sam VR: The Last Hope,Single Player
9944,Yesterday Origins,Single Player
9945,Ricerca VR,Single Player
9946,Uprising: Join or Die,Single Player
9947,Vertigo,Single Player
