"Genre","name"
"Free to Play","Team Fortress 2"
"Free to Play","Dota 2"
"Free to Play","Bloodline Champions"
"Free to Play","Champions Online"
"Free to Play","Star Trek Online"
"Free to Play","Dragon Nest"
"Free to Play","Tribes: Ascend"
"Free to Play","Pirates, Vikings, & Knights II"
"Free to Play","Dystopia"
"Free to Play","Empires"
"Free to Play","DC Universe Online"
"Free to Play","Forsaken World"
"Free to Play","CrimeCraft GangWars"
"Free to Play","RIFT"
"Free to Play","Altitude"
"Free to Play","Stronghold Kingdoms"
"Free to Play","Tactical Intervention"
"Free to Play","Spiral Knights"
"Free to Play","Puzzle Pirates"
"Free to Play","A.V.A - Alliance of Valiant Arms"
"Free to Play","Super Monday Night Combat"
"Free to Play","ORION: Prelude"
"Free to Play","War Inc. Battlezone"
"Free to Play","MicroVolts Surge"
"Free to Play","Neverwinter"
"Free to Play","APB Reloaded"
"Free to Play","Fallen Earth"
"Free to Play","Realm of the Mad God"
"Free to Play","Pox Nora"
"Free to Play","EverQuest II"
"Free to Play","America's Army: Proving Grounds"
"Free to Play","EverQuest Free-to-Play"
"Free to Play","Chronicle: RuneScape Legends"
"Free to Play","Gotham City Impostors: Free To Play"
"Free to Play","Dungeons & Dragons Online®"
"Free to Play","AirMech"
"Free to Play","Archeblade"
"Free to Play","Moon Breakers"
"Free to Play","Loadout"
"Free to Play","War of the Immortals"
"Free to Play","Blacklight: Retribution"
"Free to Play","RaceRoom Racing Experience"
"Free to Play","Star Conflict"
"Free to Play","Vindictus"
"Free to Play","Mabinogi"
"Free to Play","Atlantica Online"
"Free to Play","C9"
"Free to Play","The Lord of the Rings Online™"
"Free to Play","Super Crate Box"
"Free to Play","The Lord of the Rings Online™: Riders of Rohan™ Heroic Edition Live"
"Free to Play","Dwarfs F2P"
"Free to Play","Gear Up"
"Free to Play","WAKFU"
"Free to Play","Ragnarok"
"Free to Play","ROSE Online"
"Free to Play","Dungeon Party"
"Free to Play","MapleStory"
"Free to Play","Age of Conan: Unchained"
"Free to Play","Dungeonland"
