"Genre","name"
"RPG","Arx Fatalis"
"RPG","Two Worlds: Epic Edition"
"RPG","Dark Messiah of Might & Magic Single Player"
"RPG","Dark Messiah of Might & Magic Multi-Player"
"RPG","The Ship"
"RPG","The Ship Single Player"
"RPG","Vigil: Blood Bitterness"
"RPG","King's Bounty: Armored Princess"
"RPG","Sid Meier's Pirates!"
"RPG","Silverfall"
"RPG","Silverfall: Earth Awakening"
"RPG","S.T.A.L.K.E.R.: Shadow of Chernobyl"
"RPG","Titan Quest"
"RPG","Titan Quest: Immortal Throne"
"RPG","Dreamfall: The Longest Journey"
"RPG","The Longest Journey"
"RPG","Jade Empire: Special Edition"
"RPG","Loki"
"RPG","X-Blades"
"RPG","Two Worlds II"
"RPG","BioShock"
"RPG","EVE Online"
"RPG","Freedom Force"
"RPG","Freedom Force vs. the 3rd Reich"
"RPG","Borderlands"
"RPG","Champions Online"
"RPG","Star Trek Online"
"RPG","Disciples III: Reincarnation"
"RPG","Space Siege"
"RPG","Sherlock Holmes: Nemesis"
"RPG","Sherlock Holmes versus Jack the Ripper"
"RPG","Overlord"
"RPG","Dragon Nest"
"RPG","Culpa Innata"
"RPG","Sacred Gold"
"RPG","Legend: Hand of God"
"RPG","Drakensang"
"RPG","Overlord: Raising Hell"
"RPG","Rise of the Argonauts"
"RPG","Overlord II"
"RPG","Hinterland"
"RPG","Dragon Age: Origins"
"RPG","Mass Effect"
"RPG","On the Rain-Slick Precipice of Darkness, Episode One"
"RPG","On the Rain-Slick Precipice of Darkness, Episode Two"
"RPG","DeathSpank"
"RPG","Deathspank Pre-order"
"RPG","DeathSpank: Thongs Of Virtue"
"RPG","The Baconing"
"RPG","Puzzle Chronicles"
"RPG","S.T.A.L.K.E.R.: Clear Sky"
"RPG","The Witcher: Enhanced Edition"
"RPG","The Witcher 2: Assassins of Kings Enhanced Edition"
"RPG","Mount & Blade"
"RPG","Fallout 3"
"RPG","The Elder Scrolls III: Morrowind"
"RPG","The Elder Scrolls IV: Oblivion"
"RPG","Fallout 3 - Game of the Year Edition"
"RPG","Fallout: New Vegas"
"RPG","Fallout: New Vegas"
