"Genre","name"
"Strategy","Dota 2"
"Strategy","Darwinia"
"Strategy","Uplink"
"Strategy","DEFCON"
"Strategy","Dangerous Waters"
"Strategy","Space Empires IV Deluxe"
"Strategy","Jagged Alliance 2"
"Strategy","Disciples II: Rise of the Elves"
"Strategy","Disciples II: Gallean's Return"
"Strategy","Iron Warriors: T-72 Tank Command"
"Strategy","Space Empires V"
"Strategy","Earth 2160"
"Strategy","RollerCoaster Tycoon 3: Platinum!"
"Strategy","ThreadSpace: Hyperbol"
"Strategy","X2: The Threat"
"Strategy","X3: Reunion"
"Strategy","X3: Terran Conflict"
"Strategy","X: Beyond the Frontier"
"Strategy","X-Tension"
"Strategy","688(I) Hunter/Killer"
"Strategy","Fleet Command"
"Strategy","Sub Command"
"Strategy","Men of War: Red Tide"
"Strategy","King's Bounty: Armored Princess"
"Strategy","Genesis Rising"
"Strategy","Bejeweled Twist"
"Strategy","Plants vs. Zombies: Game of the Year"
"Strategy","Evil Genius"
"Strategy","Sid Meier's Civilization IV"
"Strategy","Sid Meier's Civilization III: Complete"
"Strategy","Shattered Union"
"Strategy","CivCity: Rome"
"Strategy","Sid Meier's Civilization IV: Warlords"
"Strategy","Poker Superstars II"
"Strategy","City Life 2008"
"Strategy","Full Spectrum Warrior"
"Strategy","Full Spectrum Warrior: Ten Hammers"
"Strategy","Company of Heroes"
"Strategy","Warhammer 40,000: Dawn of War - Game of the Year Edition"
"Strategy","Warhammer 40,000: Dawn of War – Dark Crusade"
"Strategy","Medieval II: Total War"
"Strategy","Rome: Total War"
"Strategy","Rome: Total War - Alexander"
"Strategy","Medieval II: Total War Kingdoms"
"Strategy","Heroes of Annihilated Empires"
"Strategy","Cossacks: Back to War"
"Strategy","Cossacks: Art of War"
"Strategy","Cossacks: European Wars"
"Strategy","Cossacks II: Battle for Europe"
"Strategy","Natural Selection 2"
"Strategy","Natural Selection 2 - Deluxe DLC"
"Strategy","Thrillville: Off the Rails"
"Strategy","Ghost Master"
"Strategy","Vegas: Make It Big"
"Strategy","Making History: The Calm & The Storm"
"Strategy","Joint Task Force"
"Strategy","Nexus: The Jupiter Incident"
"Strategy","Two Worlds II Castle Defense"
"Strategy","Sid Meier's Railroads!"
"Strategy","Railroad Tycoon 3"
"Strategy","Railroad Tycoon 2: Platinum"
"Strategy","X-COM: Terror from the Deep"
"Strategy","X-COM: Apocalypse"
"Strategy","X-COM: Interceptor"
"Strategy","X-COM: UFO Defense"
"Strategy","X-COM: Enforcer"
"Strategy","Men of War"
"Strategy","Battlestations: Pacific"
"Strategy","Sid Meier's Civilization IV: Beyond the Sword"
"Strategy","Freedom Force"
"Strategy","Freedom Force vs. the 3rd Reich"
"Strategy","Sid Meier's Civilization V"
"Strategy","Warhammer 40,000: Dawn of War – Winter Assault"
"Strategy","Company of Heroes: Opposing Fronts"
"Strategy","Supreme Commander"
"Strategy","Supreme Commander: Forged Alliance"
"Strategy","Warhammer 40,000: Dawn of War – Soulstorm"
"Strategy","Codename: Panzers - Cold War"
"Strategy","Disciples III: Reincarnation"
"Strategy","Empire: Total War"
"Strategy","Space Trader: Merchant Marine"
"Strategy","Pacific Storm"
"Strategy","Pacific Storm: Allies"
"Strategy","Soldiers: Heroes of World War II"
"Strategy","Maelstrom"
"Strategy","Jagged Alliance 2: Gold Pack"
"Strategy","Jagged Alliance 2 Gold: Unfinished Business"
"Strategy","Perimeter 2: New Earth"
"Strategy","BC Kings"
"Strategy","Port Royale 2"
"Strategy","9th Company - Roots of Terror"
"Strategy","Prison Tycoon 3: Lockdown"
"Strategy","Hunting Unlimited 2008"
"Strategy","Heroes of Might & Magic V"
"Strategy","The Settlers: Heritage of Kings"
"Strategy","Heroes of Might & Magic V: Tribes of the East"
"Strategy","Heroes of Might & Magic V: Hammers of Fate"
"Strategy","Harvest: Massive Encounter"
"Strategy","Warhammer® 40,000™: Dawn of War® II"
"Strategy","Oddworld: Munch's Oddysee"
"Strategy","Oddworld: Stranger's Wrath HD"
"Strategy","Sid Meier's Civilization IV: Colonization"
"Strategy","Children of the Nile"
"Strategy","Children of the Nile: Alexandria"
"Strategy","Hinterland"
"Strategy","Mosby's Confederacy"
"Strategy","Command and Conquer: Red Alert 3"
"Strategy","Nuclear Dawn"
"Strategy","Empires"
"Strategy","Unstoppable Gorg"
"Strategy","Crazy Machines 2"
"Strategy","Crazy Machines"
"Strategy","Crazy Machines 1.5"
"Strategy","Crazy Machines 1.5 New from the Lab"
"Strategy","Crazy Machines 1.5 Inventors Training Camp"
"Strategy","Helldorado"
"Strategy","Defense Grid: The Awakening"
"Strategy","Mayhem Intergalactic"
"Strategy","The Settlers: Rise of an Empire Gold Edition"
"Strategy","Company of Heroes: Tales of Valor"
"Strategy","Red Faction II"
"Strategy","Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
"Strategy","Starscape"
"Strategy","Mr. Robot"
"Strategy","Project Aftermath"
"Strategy","Age of Booty"
"Strategy","FLOCK!"
"Strategy","Tom Clancy's EndWar"
