"Genre","name"
"Casual","Gumboy: Crazy Adventures"
"Casual","Gumboy Crazy Features"
"Casual","RIP"
"Casual","RIP 2: Strike Back"
"Casual","RIP 3: The Last Hero"
"Casual","Safecracker: The Ultimate Puzzle Adventure"
"Casual","Bejeweled 2 Deluxe"
"Casual","Chuzzle Deluxe"
"Casual","Insaniquarium! Deluxe"
"Casual","Zuma Deluxe"
"Casual","AstroPop Deluxe"
"Casual","Bejeweled Deluxe"
"Casual","Big Money! Deluxe"
"Casual","Dynomite! Deluxe"
"Casual","Feeding Frenzy 2: Shipwreck Showdown Deluxe"
"Casual","Hammer Heads Deluxe"
"Casual","Heavy Weapon Deluxe"
"Casual","Iggle Pop! Deluxe"
"Casual","Pizza Frenzy"
"Casual","Rocket Mania! Deluxe"
"Casual","Typer Shark! Deluxe"
"Casual","Talismania Deluxe"
"Casual","Peggle Deluxe"
"Casual","Peggle Extreme"
"Casual","Venice"
"Casual","Mystery P.I.: The Lottery Ticket"
"Casual","Amazing Adventures: The Lost Tomb"
"Casual","Mystery PI: The Vegas Heist"
"Casual","Amazing Adventures Around the World"
"Casual","Peggle Nights"
"Casual","Bejeweled Twist"
"Casual","Mystery P.I.: The New York Fortune"
"Casual","The Wizard's Pen"
"Casual","Escape Rosecliff Island"
"Casual","Mystery P.I.: Lost in Los Angeles"
"Casual","Zuma's Revenge"
"Casual","Poker Superstars II"
"Casual","Zen of Sudoku"
"Casual","Bullet Candy"
"Casual","Azada"
"Casual","Telltale Texas Hold'Em"
"Casual","Geometry Wars: Retro Evolved"
"Casual","The UnderGarden"
"Casual","Aces of the Galaxy"
"Casual","Sherlock Holmes: The Mystery of The Persian Carpet"
"Casual","Gumboy Tournament"
"Casual","Penguins Arena: Sedna's World"
"Casual","Obulis"
"Casual","Lumines"
"Casual","Lumines: Advanced Pack"
"Casual","Culpa Innata"
"Casual","SlamIt Pinball: Big Score"
"Casual","Puzzle Quest"
"Casual","Mahjongg Investigations: Under Suspicion"
"Casual","Fetch It Again"
"Casual","Miss Popularity"
"Casual","Ninja Reflex: Steamworks Edition"
"Casual","Brain Spa"
"Casual","The Wonderful End of the World"
"Casual","Planet Busters"
"Casual","7 Wonders II"
"Casual","Luxor: Amun Rising"
"Casual","Luxor 2"
"Casual","Luxor 3"
"Casual","Reaxxion"
"Casual","Little Farm"
"Casual","Luxor"
"Casual","Discovery! A Seek & Find Adventure"
"Casual","Samantha Swift and the Hidden Roses of Athena"
"Casual","7 Wonders: The Treasures of Seven"
"Casual","Luxor: Quest for the Afterlife"
"Casual","Samantha Swift and the Golden Touch"
"Casual","Virtual Villagers: A New Home"
"Casual","Virtual Villagers 2: The Lost Children"
"Casual","Plant Tycoon"
"Casual","Fish Tycoon"
"Casual","Virtual Villagers 3: The Secret City"
"Casual","Virtual Families"
"Casual","Everyday Shooter"
"Casual","Chaos Theory"
"Casual","Unstoppable Gorg"
"Casual","Spectraball"
"Casual","Crazy Machines 2"
"Casual","Crazy Machines"
"Casual","Crazy Machines 1.5"
"Casual","Crazy Machines 1.5 New from the Lab"
"Casual","Crazy Machines 1.5 Inventors Training Camp"
"Casual","And Yet It Moves"
"Casual","Puzzle Chronicles"
"Casual","Biozone"
"Casual","Space Ark"
"Casual","Galactic Bowling"
"Casual","Gravitron 2"
"Casual","Age of Booty"
"Casual","FLOCK!"
"Casual","Yosumin!"
"Casual","Puzzle Quest: Galactrix"
"Casual","Puzzle Kingdoms"
"Casual","Cogs"
"Casual","Braid"
"Casual","Crayon Physics Deluxe"
"Casual","FATALE"
"Casual","Dangerous High School Girls in Trouble!"
"Casual","MEVO & the Grooveriders"
"Casual","Yumsters! 2: Around the World!"
"Casual","Musaic Box"
"Casual","Osmos"
"Casual","Caster"
"Casual","Puzzle Agent"
"Casual","Poker Night at the Inventory"
"Casual","Nancy Drew: Lights, Camera, Curses!"
"Casual","Raycatcher"
"Casual","Luxor Mahjong"
"Casual","Chainz 2: Relinked"
"Casual","Midnight Mysteries: The Edgar Allan Poe Conspiracy"
"Casual","Everyday Genius: SquareLogic"
"Casual","Zombie Bowl-O-Rama"
"Casual","Lucidity"
"Casual","Restaurant Empire II"
"Casual","Puzzler World"
"Casual","Ziro"
"Casual","Paws & Claws: Pampered Pets"
"Casual","Paws & Claws: Pet School"
"Casual","Paws & Claws: Pet Vet"
"Casual","Amelia Earhart"
"Casual","Elizabeth Find M.D. - Diagnosis Mystery - Season 2"
"Casual","The Fish Fillets 2"
"Casual","Columns"
"Casual","Dr. Robotnik's Mean Bean Machine"
"Casual","Columns III"
"Casual","Razor2: Hidden Skies"
"Casual","Flora's Fruit Farm"
"Casual","Dwarfs!?"
"Casual","Big Brain Wolf"
"Casual","BRAINPIPE: A Plunge to Unhumanity"
