"name","Price"
"Counter-Strike",9.99
"Team Fortress Classic",4.99
"Day of Defeat",4.99
"Deathmatch Classic",4.99
"Half-Life: Opposing Force",4.99
"Ricochet",4.99
"Half-Life",9.99
"Counter-Strike: Condition Zero",9.99
"Counter-Strike: Condition Zero Deleted Scenes",9.99
"Half-Life: Blue Shift",4.99
"Half-Life 2",9.99
"Counter-Strike: Source",19.99
"Half-Life: Source",9.99
"Day of Defeat: Source",9.99
"Half-Life 2: Deathmatch",4.99
"Half-Life 2: Lost Coast",0.0
"Half-Life Deathmatch: Source",9.99
"Half-Life 2: Episode One",7.99
"Portal",9.99
"Half-Life 2: Episode Two",7.99
"Team Fortress 2",0.0
"Left 4 Dead",19.99
"Left 4 Dead 2",19.99
"Dota 2",0.0
"Portal 2",19.99
"Alien Swarm",0.0
"Portal 2 - Pre-order",19.99
"Counter-Strike: Global Offensive",14.99
"Rag Doll Kung Fu",9.99
"Red Orchestra: Ostfront 41-45",9.99
"Killing Floor",19.99
"SiN Episodes: Emergence",9.99
"SiN Multiplayer",9.99
"SiN",9.99
"Darwinia",9.99
"Uplink",9.99
"DEFCON",9.99
"Multiwinia",9.99
"Dangerous Waters",14.99
"Space Empires IV Deluxe",9.99
"Jagged Alliance 2",19.99
"Disciples II: Rise of the Elves",6.49
"Disciples II: Gallean's Return",6.49
"Iron Warriors: T-72 Tank Command",4.99
"Space Empires V",14.99
"Arx Fatalis",4.99
"Source Filmmaker",0.0
"Earth 2160",4.99
"Two Worlds: Epic Edition",9.99
"Dark Messiah of Might & Magic Single Player",9.99
"Dark Messiah of Might & Magic Multi-Player",9.99
"Quake III Arena",14.99
"Quake 4",14.99
"Wolfenstein 3D",4.99
"The Ultimate DOOM",4.99
"Final DOOM",4.99
"DOOM II: Hell on Earth",4.99
"Quake",4.99
"Quake II",4.99
"Quake II: The Reckoning",2.99
"Quake II: Ground Zero",2.99
"Quake III: Team Arena",14.99
"HeXen: Beyond Heretic",4.99
"HeXen: Deathkings of the Dark Citadel",4.99
